gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
57,0,0,377,298,-7.25000000
58,0,0,377,486,-7.25000000
59,0,0,377,430,-7.25000000
60,0,1,372,354,-4.25000000
61,0,1,370,328,-1.25000000
62,0,1,371,306,1.75000000
63,0,1,375,290,4.25000000
64,0,1,381,266,6.75000000
65,1,1,389,214,8.75000000
66,1,1,394,180,5.75000000
67,0,1,396,155,2.75000000
68,1,1,400,130,4.75000000
69,0,1,401,113,1.25000000
70,1,1,403,88,2.75000000
71,1,1,402,63,-0.75000000
72,0,1,398,55,-3.75000000
73,0,1,396,46,-1.25000000
74,0,1,397,31,1.25000000
75,0,1,400,8,3.75000000
76,0,1,406,3,6.25000000
77,1,1,414,-22,8.25000000
