gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
99,0,0,345,394,-2.50000000
100,0,0,345,534,-2.50000000
101,0,0,345,422,-2.50000000
102,0,1,341,414,-3.25000000
103,0,1,339,338,-1.50000000
104,1,1,339,276,0.12500000
105,0,1,338,252,-0.87500000
106,1,1,338,194,0.62500000
107,0,1,337,167,-0.50000000
108,0,1,337,143,0.87500000
109,0,1,339,131,2.12500000
110,0,1,342,118,3.37500000
111,1,1,346,88,4.62500000
112,0,1,349,71,3.25000000
113,0,1,353,68,4.37500000
114,0,1,358,45,5.50000000
115,1,1,364,16,6.50000000
116,1,1,368,-12,4.87500000
117,0,1,371,-15,3.25000000
118,0,1,375,-24,4.12500000
119,0,1,380,-43,5.00000000
