gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
1,0,0,0,558,0.00000000
2,0,0,0,358,0.00000000
3,0,0,0,354,0.00000000
4,0,1,443,350,0.00000000
5,0,1,468,334,25.00000000
6,1,1,486,290,18.75000000
7,0,1,486,284,0.00000000
8,1,1,492,240,6.25000000
9,1,1,491,197,-1.00000000
10,1,1,486,175,-4.86111111
11,1,1,478,153,-7.14285714
12,1,1,469,131,-8.59375000
13,0,1,459,123,-9.56790123
14,0,1,453,123,-5.25000000
15,1,1,450,100,-2.06611570
16,1,1,446,76,-3.81944444
17,1,1,440,52,-5.17751479
18,1,1,433,28,-6.25000000
19,0,1,425,26,-7.11111111
20,1,1,420,1,-4.68750000
21,0,0,420,390,-4.68750000
22,0,0,420,402,-4.68750000
23,0,0,420,516,-4.68750000
24,0,1,414,454,-5.62283737
25,0,1,410,414,-3.62654321
26,1,1,408,328,-1.93905817
27,0,1,405,306,-3.00000000
28,0,1,403,284,-1.50000000
29,0,1,403,274,-0.00000000
30,0,1,404,272,1.50000000
31,0,1,406,264,2.87500000
32,0,1,410,232,4.25000000
33,1,1,415,190,5.50000000
34,0,1,419,175,4.12500000
35,1,1,424,150,5.25000000
36,0,1,427,145,3.75000000
37,0,1,431,143,4.75000000
38,0,1,436,132,5.75000000
39,0,1,442,126,6.75000000
40,0,1,449,124,7.62500000
41,1,1,457,101,8.37500000
42,1,1,463,78,6.50000000
43,1,1,467,55,4.62500000
44,0,0,467,406,4.62500000
45,0,0,467,282,4.62500000
46,0,0,467,558,4.62500000
47,0,1,469,482,2.87500000
48,0,1,472,422,3.62500000
49,1,1,476,340,4.37500000
50,0,1,478,330,2.62500000
51,0,1,481,304,3.37500000
52,1,1,485,260,4.12500000
53,0,1,487,222,2.37500000
54,0,1,490,220,3.25000000
55,1,1,494,188,4.12500000
56,1,1,496,167,2.50000000
57,0,1,497,149,1.00000000
58,1,1,499,128,2.00000000
59,1,1,499,107,0.50000000
60,1,1,498,86,-1.00000000
61,0,1,495,80,-2.37500000
62,1,1,493,59,-1.12500000
63,0,0,493,286,-1.12500000
64,0,0,493,354,-1.12500000
65,0,0,493,462,-1.12500000
66,1,1,490,374,-2.37500000
67,0,1,486,328,-3.50000000
68,0,1,484,294,-2.00000000
69,1,1,483,250,-0.62500000
70,0,1,481,212,-1.87500000
71,1,1,480,183,-0.62500000
72,0,1,478,172,-1.87500000
73,1,1,477,150,-0.50000000
74,1,1,475,128,-1.75000000
75,1,1,472,106,-2.87500000
76,1,1,468,84,-3.87500000
77,1,1,463,61,-4.87500000
78,1,1,457,38,-5.75000000
79,1,1,450,15,-6.50000000
80,0,0,450,310,-6.50000000
81,0,0,450,438,-6.50000000
82,0,0,450,382,-6.50000000
83,1,1,442,316,-7.25000000
84,1,1,434,268,-8.00000000
85,0,1,425,250,-8.62500000
86,0,1,418,222,-6.75000000
87,1,1,413,185,-5.00000000
88,1,1,407,159,-5.87500000
89,0,1,400,137,-6.62500000
90,1,1,395,110,-4.87500000
91,1,1,389,83,-5.75000000
92,1,1,382,56,-6.50000000
93,1,1,374,28,-7.12500000
94,0,1,366,23,-7.75000000
95,1,1,360,-6,-5.75000000
96,0,1,353,-11,-6.37500000
97,0,1,348,-23,-4.37500000
98,1,1,345,-53,-2.50000000
99,0,0,345,394,-2.50000000
100,0,0,345,534,-2.50000000
101,0,0,345,422,-2.50000000
102,0,1,341,414,-3.25000000
103,0,1,339,338,-1.50000000
104,1,1,339,276,0.12500000
105,0,1,338,252,-0.87500000
106,1,1,338,194,0.62500000
107,0,1,337,167,-0.50000000
108,0,1,337,143,0.87500000
109,0,1,339,131,2.12500000
110,0,1,342,118,3.37500000
111,1,1,346,88,4.62500000
112,0,1,349,71,3.25000000
113,0,1,353,68,4.37500000
114,0,1,358,45,5.50000000
115,1,1,364,16,6.50000000
116,1,1,368,-12,4.87500000
117,0,1,371,-15,3.25000000
118,0,1,375,-24,4.12500000
119,0,1,380,-43,5.00000000
