gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
1,0,0,359,341,-3.00000000
2,0,0,359,387,-3.00000000
3,0,0,359,483,-3.00000000
4,1,1,352,423,-7.00000000
5,0,1,341,413,-10.50000000
6,0,1,332,397,-8.50000000
7,1,1,325,333,-6.50000000
8,0,1,315,271,-9.50000000
9,0,1,308,221,-7.00000000
10,0,1,303,198,-4.50000000
11,0,1,300,194,-2.50000000
12,0,1,299,176,-0.50000000
13,0,1,300,168,1.50000000
14,0,1,303,139,3.00000000
15,0,1,307,119,4.00000000
16,0,1,311,104,4.50000000
17,0,1,316,87,5.00000000
18,0,1,321,84,5.50000000
19,0,1,326,79,5.50000000
20,0,1,331,49,5.50000000
21,1,1,336,18,5.50000000
22,1,1,336,-13,0.50000000
23,0,1,332,-20,-4.00000000
24,1,1,329,-52,-3.00000000
25,0,1,322,-65,-7.00000000
26,0,1,316,-70,-5.50000000
27,0,1,312,-73,-4.00000000
28,0,1,309,-81,-2.50000000
