gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
1,0,0,387,383,3.50000000
2,0,0,387,409,3.50000000
3,0,0,387,453,3.50000000
4,0,1,391,431,4.00000000
5,0,1,395,385,4.50000000
6,0,1,400,347,5.00000000
7,0,1,405,313,5.50000000
8,0,1,410,291,5.50000000
9,1,1,415,241,5.50000000
10,0,1,415,225,0.50000000
11,0,1,416,195,1.00000000
12,0,1,417,180,1.50000000
13,1,1,419,155,2.00000000
14,0,1,416,148,-2.50000000
15,1,1,414,123,-1.50000000
16,0,1,408,104,-5.50000000
17,0,1,404,100,-4.00000000
18,0,1,401,86,-2.50000000
19,1,1,400,60,-1.00000000
20,0,1,395,37,-4.50000000
21,0,1,392,16,-3.00000000
22,1,1,390,-11,-1.50000000
23,0,1,385,-32,-5.00000000
24,0,1,382,-40,-3.00000000
25,1,1,380,-68,-1.50000000
