gameNumber,successInStatic,isStatic,gameInterval,finalInterval
1,0,0,0,278
2,0,0,0,328
3,0,0,0,260
4,0,1,308,260
5,0,1,333,204
6,0,1,351,174
7,0,1,367,149
8,1,1,382,122
9,1,1,387,95
10,1,1,386,68
11,1,1,381,41
12,1,1,374,13
13,1,1,366,-16
14,1,1,357,-45
15,0,1,346,-71
16,1,1,338,-102
17,1,1,329,-134
18,0,0,329,280
19,0,0,329,300
20,0,0,329,298
21,0,1,319,294
22,0,1,313,230
23,0,1,311,218
24,0,1,313,196
25,1,1,318,163
26,0,1,320,162
27,1,1,325,130
28,0,1,327,104
29,0,1,331,81
30,1,1,337,50
31,1,1,339,19
32,0,1,338,12
33,0,1,339,11
34,1,1,342,-20
35,1,1,342,-51
36,1,1,339,-82
37,0,1,334,-109
38,0,0,334,446
39,0,0,334,328
40,0,0,334,258
41,1,1,332,196
42,1,1,327,164
43,1,1,320,131
44,0,1,312,100
45,0,1,307,82
46,1,1,305,48
47,0,1,301,32
48,1,1,301,-3
49,0,1,299,-7
50,0,1,300,-41
51,0,1,303,-63
52,0,1,309,-87
53,0,1,317,-111
54,1,1,326,-143
55,1,1,331,-175
56,0,0,331,454
57,0,0,331,570
58,0,0,331,294
59,0,1,333,292
60,0,1,337,286
61,0,1,342,270
62,0,1,349,254
63,1,1,357,197
64,0,1,361,169
65,1,1,366,140
66,0,1,368,135
67,1,1,372,107
68,0,1,373,103
69,0,1,376,84
70,0,1,380,61
71,1,1,386,34
72,0,1,388,19
73,1,1,392,-8
74,1,1,393,-35
75,1,1,391,-62
76,0,0,391,230
77,0,0,391,390
78,0,0,391,284
79,1,1,387,230
80,1,1,380,186
81,1,1,371,158
82,1,1,360,129
83,1,1,348,99
84,0,1,335,82
85,0,1,326,82
86,1,1,321,49
87,0,1,315,37
88,1,1,313,4
89,1,1,310,-30
90,0,1,305,-62
91,1,1,304,-96
92,1,1,301,-131
93,0,1,296,-134
94,0,1,294,-160
95,0,0,294,298
96,0,0,294,290
97,0,0,294,260
98,1,1,294,193
99,0,1,292,177
100,1,1,293,141
101,0,1,291,139
102,1,1,292,103
103,0,1,291,83
104,1,1,292,47
105,0,1,291,20
106,1,1,292,-16
107,1,1,290,-52
108,1,1,286,-88
109,0,1,280,-104
110,0,1,277,-106
111,0,1,277,-112
112,1,1,279,-149
113,0,1,279,-152
114,1,1,281,-189
