roundId,group,isTestGame,successInStatic,gameNumber,gameInterval,previousIntervalChange,pressesToSuccess,duration
1,2,1,1,1,450.00000000,0.00000000,0,10785
1,2,1,1,2,430.00000000,0.00000000,0,10778
1,2,1,1,3,410.00000000,0.00000000,0,11157
1,2,1,0,4,390.00000000,0.00000000,8,8135
1,2,1,1,5,370.00000000,0.00000000,0,10815
1,2,1,1,6,350.00000000,0.00000000,0,10995
1,2,1,0,7,330.00000000,0.00000000,27,2531
1,2,1,0,8,310.00000000,0.00000000,23,4206
1,2,1,0,9,290.00000000,0.00000000,25,3680
2,2,0,0,10,400.00000000,0.00000000,23,1887
2,2,0,0,11,450.00000000,50.00000000,20,1979
2,2,0,1,12,487.50000000,37.50000000,0,10857
2,2,0,1,13,487.50000000,0.00000000,0,10796
2,2,0,1,14,475.00000000,-12.50000000,0,10637
2,2,0,1,15,457.00000000,-18.00000000,0,10707
2,2,0,1,16,436.16666667,-20.83333333,0,10762
2,2,0,1,17,413.71768707,-22.44897959,0,10600
2,2,0,1,18,390.28018707,-23.43750000,0,10811
2,2,0,0,19,366.20611300,-24.07407407,11,6983
2,2,0,1,20,351.70611300,-14.50000000,0,10836
2,2,0,0,21,335.17718738,-16.52892562,6,9067
2,2,0,0,22,325.45496516,-9.72222222,16,6308
2,2,0,0,23,321.01709534,-4.43786982,7,9113
2,2,0,1,24,320.76199330,-0.25510204,0,10970
2,2,0,1,25,317.20643774,-3.55555556,0,10835
3,2,0,0,26,310.98421552,-6.22222222,4,10063
3,2,0,1,27,309.20643774,-1.77777778,0,10879
3,2,0,0,28,305.20643774,-4.00000000,2,10108
3,2,0,0,29,305.65088218,0.44444444,21,4144
3,2,0,0,30,310.09532663,4.44444444,22,4056
3,2,0,0,31,318.09532663,8.00000000,21,4460
3,2,0,0,32,329.20643774,11.11111111,10,7731
3,2,0,1,33,342.98421552,13.77777778,0,11001
3,2,0,1,34,352.31754885,9.33333333,0,10864
3,2,0,0,35,357.20643774,4.88888889,28,968
3,2,0,0,36,364.76199330,7.55555556,5,9072
3,2,0,0,37,374.53977107,9.77777778,8,8138
3,2,0,1,38,386.53977107,12.00000000,0,10658
3,2,0,0,39,394.09532663,7.55555556,11,6663
3,2,0,1,40,404.31754885,10.22222222,0,10807
3,2,0,1,41,410.09532663,5.77777778,0,10955
3,2,0,1,42,411.42865996,1.33333333,0,10896
4,2,0,0,43,408.76199330,-2.66666667,6,8861
4,2,0,1,44,408.76199330,-0.00000000,0,10832
4,2,0,1,45,404.76199330,-4.00000000,0,10753
4,2,0,1,46,397.20643774,-7.55555556,0,11012
4,2,0,1,47,386.53977107,-10.66666667,0,10856
4,2,0,1,48,373.20643774,-13.33333333,0,10710
4,2,0,1,49,357.65088218,-15.55555556,0,10840
4,2,0,0,50,339.87310441,-17.77777778,2,10116
4,2,0,0,51,326.53977107,-13.33333333,15,5770
4,2,0,0,52,317.65088218,-8.88888889,22,3653
4,2,0,0,53,313.20643774,-4.44444444,10,7604
4,2,0,0,54,313.20643774,0.00000000,13,6666
4,2,0,0,55,317.20643774,4.00000000,1,11359
4,2,0,0,56,325.20643774,8.00000000,18,5181
4,2,0,1,57,336.76199330,11.55555556,0,10812
5,2,1,1,58,450.00000000,11.55555556,0,10498
5,2,1,0,59,430.00000000,11.55555556,5,9134
5,2,1,1,60,410.00000000,11.55555556,0,10960
5,2,1,1,61,390.00000000,11.55555556,0,10810
5,2,1,1,62,370.00000000,11.55555556,0,10607
5,2,1,1,63,350.00000000,11.55555556,0,10822
5,2,1,0,64,330.00000000,11.55555556,6,9256
5,2,1,1,65,310.00000000,11.55555556,0,10905
5,2,1,0,66,290.00000000,11.55555556,3,9932
6,2,0,1,67,344.76199330,8.00000000,0,10562
6,2,0,1,68,349.20643774,4.44444444,0,10758
6,2,0,1,69,350.53977107,1.33333333,0,10772
6,2,0,0,70,348.76199330,-1.77777778,6,8475
6,2,0,0,71,350.53977107,1.77777778,7,8287
6,2,0,1,72,355.42865996,4.88888889,0,10979
6,2,0,1,73,356.31754885,0.88888889,0,10647
6,2,0,1,74,353.20643774,-3.11111111,0,10821
6,2,0,1,75,346.09532663,-7.11111111,0,10712
6,2,0,0,76,335.42865996,-10.66666667,12,7068
6,2,0,1,77,328.31754885,-7.11111111,0,10939
6,2,0,1,78,318.09532663,-10.22222222,0,10875
6,2,0,0,79,305.20643774,-12.88888889,0,10984
6,2,0,1,80,296.76199330,-8.44444444,0,10737
7,2,0,0,81,286.09532663,-10.66666667,25,3853
7,2,0,1,82,280.31754885,-5.77777778,0,11326
7,2,0,0,83,272.31754885,-8.00000000,17,5990
7,2,0,0,84,268.76199330,-3.55555556,13,7699
7,2,0,0,85,269.20643774,0.44444444,15,7228
7,2,0,0,86,273.20643774,4.00000000,30,2840
7,2,0,1,87,280.76199330,7.55555556,0,10743
7,2,0,1,88,285.20643774,4.44444444,0,10940
7,2,0,1,89,286.53977107,1.33333333,0,10684
7,2,0,1,90,284.76199330,-1.77777778,0,11050
7,2,0,0,91,279.87310441,-4.88888889,13,7119
7,2,0,0,92,278.53977107,-1.33333333,17,6185
7,2,0,0,93,280.76199330,2.22222222,21,5145
7,2,0,0,94,286.09532663,5.33333333,20,5512
7,2,0,1,95,294.09532663,8.00000000,0,11012
7,2,0,0,96,298.09532663,4.00000000,1,10764
7,2,0,1,97,304.76199330,6.66666667,0,10782
8,2,0,1,98,307.42865996,2.66666667,0,10815
8,2,0,0,99,306.09532663,-1.33333333,4,9901
8,2,0,1,100,307.87310441,1.77777778,0,10854
8,2,0,1,101,306.09532663,-1.77777778,0,10799
8,2,0,0,102,301.20643774,-4.88888889,25,3493
8,2,0,1,103,300.31754885,-0.88888889,0,10946
8,2,0,0,104,296.31754885,-4.00000000,6,9202
8,2,0,0,105,295.87310441,-0.44444444,7,8583
8,2,0,0,106,298.53977107,2.66666667,6,8953
8,2,0,0,107,303.87310441,5.33333333,17,5486
8,2,0,0,108,311.87310441,8.00000000,23,3805
8,2,0,1,109,322.53977107,10.66666667,0,10695
8,2,0,0,110,329.20643774,6.66666667,0,10807
8,2,0,0,111,338.98421552,9.77777778,1,10865
8,2,0,1,112,351.42865996,12.44444444,0,11052
9,2,1,1,113,450.00000000,12.44444444,0,10469
9,2,1,1,114,430.00000000,12.44444444,0,10554
9,2,1,1,115,410.00000000,12.44444444,0,10907
9,2,1,1,116,390.00000000,12.44444444,0,10753
9,2,1,1,117,370.00000000,12.44444444,0,10676
9,2,1,1,118,350.00000000,12.44444444,0,10797
9,2,1,1,119,330.00000000,12.44444444,0,10968
9,2,1,0,120,310.00000000,12.44444444,15,6466
9,2,1,0,121,290.00000000,12.44444444,12,7721
10,2,0,1,122,359.87310441,8.44444444,0,10692
10,2,0,1,123,364.31754885,4.44444444,0,10908
10,2,0,0,124,364.76199330,0.44444444,20,3473
10,2,0,1,125,368.31754885,3.55555556,0,11129
10,2,0,1,126,367.87310441,-0.44444444,0,11016
10,2,0,0,127,363.42865996,-4.44444444,0,10955
10,2,0,1,128,362.09532663,-1.33333333,0,10866
10,2,0,1,129,356.76199330,-5.33333333,0,11048
10,2,0,0,130,347.87310441,-8.88888889,23,3137
10,2,0,1,131,342.53977107,-5.33333333,0,11107
10,2,0,1,132,334.09532663,-8.44444444,0,10704
10,2,0,1,133,322.98421552,-11.11111111,0,10702
10,2,0,0,134,309.65088218,-13.33333333,19,5057
10,2,0,0,135,300.76199330,-8.88888889,19,5457
10,2,0,0,136,296.31754885,-4.44444444,5,9463
11,2,0,0,137,296.31754885,0.00000000,4,9915
11,2,0,0,138,300.31754885,4.00000000,11,7810
11,2,0,1,139,307.87310441,7.55555556,0,10856
11,2,0,0,140,311.87310441,4.00000000,28,2395
11,2,0,0,141,319.42865996,7.55555556,30,1440
11,2,0,1,142,330.09532663,10.66666667,0,10964
11,2,0,1,143,336.76199330,6.66666667,0,10841
11,2,0,1,144,339.87310441,3.11111111,0,10855
11,2,0,1,145,339.42865996,-0.44444444,0,11004
11,2,0,1,146,335.42865996,-4.00000000,0,10797
11,2,0,1,147,328.31754885,-7.11111111,0,10938
11,2,0,1,148,318.09532663,-10.22222222,0,10904
11,2,0,1,149,304.76199330,-13.33333333,0,10787
11,2,0,0,150,288.31754885,-16.44444444,15,6469
11,2,0,1,151,275.87310441,-12.44444444,0,10884
12,2,0,0,152,260.76199330,-15.11111111,30,3103
12,2,0,0,153,250.09532663,-10.66666667,37,1565
12,2,0,0,154,243.87310441,-6.22222222,28,4218
12,2,0,0,155,242.09532663,-1.77777778,10,8467
12,2,0,0,156,244.31754885,2.22222222,15,7412
12,2,0,0,157,250.53977107,6.22222222,32,2836
12,2,0,0,158,260.76199330,10.22222222,25,4584
12,2,0,0,159,274.53977107,13.77777778,29,3144
12,2,0,0,160,291.42865996,16.88888889,18,5824
12,2,0,0,161,310.98421552,19.55555556,7,9279
12,2,0,1,162,332.76199330,21.77777778,0,11117
12,2,0,1,163,349.65088218,16.88888889,0,10814
12,2,0,0,164,361.65088218,12.00000000,25,1705
12,2,0,0,165,375.42865996,13.77777778,21,3201
12,2,0,1,166,390.53977107,15.11111111,0,10924
12,2,0,1,167,400.31754885,9.77777778,0,10646
12,2,0,0,168,404.76199330,4.44444444,3,9835
12,2,0,0,169,410.98421552,6.22222222,21,2686
12,2,0,0,170,418.98421552,8.00000000,21,2125
12,2,0,0,171,428.76199330,9.77777778,8,7714
