roundId,group,isTestGame,successInStatic,gameNumber,gameInterval,previousIntervalChange,pressesToSuccess,duration
1,3,1,1,1,450.00000000,0.00000000,0,10446
1,3,1,1,2,430.00000000,0.00000000,0,10220
1,3,1,0,3,410.00000000,0.00000000,21,3286
1,3,1,1,4,390.00000000,0.00000000,0,10492
1,3,1,0,5,370.00000000,0.00000000,8,9604
1,3,1,1,6,350.00000000,0.00000000,0,10081
1,3,1,0,7,330.00000000,0.00000000,28,1893
1,3,1,0,8,310.00000000,0.00000000,21,4598
1,3,1,0,9,290.00000000,0.00000000,31,2488
2,3,0,1,10,400.00000000,0.00000000,0,10260
2,3,0,1,11,397.00000000,-3.00000000,0,10471
2,3,0,1,12,394.75000000,-2.25000000,0,10600
2,3,0,1,13,392.75000000,-2.00000000,0,10161
2,3,0,1,14,390.87500000,-1.87500000,0,10625
2,3,0,1,15,389.07500000,-1.80000000,0,10267
2,3,0,1,16,387.32500000,-1.75000000,0,10211
2,3,0,0,17,385.61071429,-1.71428571,26,469
2,3,0,1,18,391.42321429,5.81250000,0,11300
2,3,0,1,19,395.68247354,4.25925926,0,10855
2,3,0,1,20,398.83247354,3.15000000,0,10175
2,3,0,1,21,401.16305206,2.33057851,0,10256
2,3,0,0,22,402.87138539,1.70833333,4,8931
2,3,0,1,23,408.71162208,5.84023669,0,10625
2,3,0,0,24,413.53305065,4.82142857,16,4783
2,3,0,0,25,421.53305065,8.00000000,24,1017
2,3,0,0,26,432.73305065,11.20000000,5,8920
2,3,0,0,27,446.86638398,14.13333333,19,2272
2,3,0,0,28,463.66638398,16.80000000,22,3055
2,3,0,1,29,482.86638398,19.20000000,0,10000
2,3,0,1,30,500.19971732,17.33333333,0,9997
3,3,0,1,31,515.66638398,15.46666667,0,10058
3,3,0,1,32,529.26638398,13.60000000,0,10240
3,3,0,1,33,540.99971732,11.73333333,0,10080
3,3,0,1,34,551.13305065,10.13333333,0,10305
3,3,0,1,35,559.66638398,8.53333333,0,10396
3,3,0,1,36,566.59971732,6.93333333,0,10066
3,3,0,1,37,571.93305065,5.33333333,0,10185
3,3,0,1,38,575.66638398,3.73333333,0,10170
3,3,0,1,39,578.06638398,2.40000000,0,10350
3,3,0,1,40,579.13305065,1.06666667,0,10575
3,3,0,1,41,579.13305065,-0.00000000,0,10353
3,3,0,1,42,578.33305065,-0.80000000,0,10325
3,3,0,0,43,576.99971732,-1.33333333,15,2478
3,3,0,1,44,579.39971732,2.40000000,0,10075
3,3,0,1,45,581.53305065,2.13333333,0,10425
3,3,0,1,46,583.39971732,1.86666667,0,10430
3,3,0,1,47,584.99971732,1.60000000,0,10351
3,3,0,1,48,586.33305065,1.33333333,0,10281
4,3,0,1,49,587.39971732,1.06666667,0,10325
4,3,0,1,50,588.19971732,0.80000000,0,10676
4,3,0,0,51,588.73305065,0.53333333,17,712
4,3,0,1,52,592.99971732,4.26666667,0,10001
4,3,0,1,53,596.73305065,3.73333333,0,10002
4,3,0,0,54,599.93305065,3.20000000,7,5757
4,3,0,1,55,606.59971732,6.66666667,0,10327
4,3,0,0,56,612.46638398,5.86666667,17,816
4,3,0,1,57,621.53305065,9.06666667,0,10695
4,3,0,1,58,629.53305065,8.00000000,0,10000
4,3,0,1,59,636.46638398,6.93333333,0,10205
4,3,0,0,60,642.59971732,6.13333333,14,2020
4,3,0,0,61,651.93305065,9.33333333,16,1535
4,3,0,0,62,664.19971732,12.26666667,16,2584
4,3,0,1,63,679.13305065,14.93333333,0,10282
4,3,0,0,64,692.46638398,13.33333333,13,1847
4,3,0,1,65,708.19971732,15.73333333,0,10581
4,3,0,1,66,722.06638398,13.86666667,0,10010
4,3,0,1,67,734.06638398,12.00000000,0,10000
4,3,0,1,68,744.46638398,10.40000000,0,10000
4,3,0,1,69,753.26638398,8.80000000,0,10335
4,3,0,1,70,760.46638398,7.20000000,0,10091
5,3,1,1,71,450.00000000,7.20000000,0,10545
5,3,1,1,72,430.00000000,7.20000000,0,10386
5,3,1,1,73,410.00000000,7.20000000,0,10315
5,3,1,0,74,390.00000000,7.20000000,2,9932
5,3,1,1,75,370.00000000,7.20000000,0,11795
5,3,1,0,76,350.00000000,7.20000000,19,4627
5,3,1,1,77,330.00000000,7.20000000,0,11050
5,3,1,0,78,310.00000000,7.20000000,32,886
5,3,1,0,79,290.00000000,7.20000000,32,2007
6,3,0,1,80,766.33305065,5.86666667,0,10745
6,3,0,0,81,770.86638398,4.53333333,13,1256
6,3,0,1,82,778.33305065,7.46666667,0,10011
6,3,0,1,83,784.46638398,6.13333333,0,10008
6,3,0,0,84,789.26638398,4.80000000,13,36217
6,3,0,1,85,796.73305065,7.46666667,0,11860
6,3,0,1,86,802.86638398,6.13333333,0,10285
6,3,0,1,87,807.93305065,5.06666667,0,10075
6,3,0,1,88,812.19971732,4.26666667,0,9997
6,3,0,0,89,815.66638398,3.46666667,13,1412
6,3,0,1,90,822.59971732,6.93333333,0,10260
6,3,0,1,91,828.73305065,6.13333333,0,10095
6,3,0,0,92,834.06638398,5.33333333,12,1358
6,3,0,1,93,842.59971732,8.53333333,0,10000
6,3,0,1,94,850.06638398,7.46666667,0,10020
6,3,0,1,95,856.46638398,6.40000000,0,10000
6,3,0,1,96,861.79971732,5.33333333,0,10001
7,3,0,1,97,866.06638398,4.26666667,0,10000
7,3,0,1,98,869.53305065,3.46666667,0,10000
7,3,0,1,99,872.19971732,2.66666667,0,10000
7,3,0,1,100,874.06638398,1.86666667,0,10391
7,3,0,1,101,875.39971732,1.33333333,0,10000
7,3,0,1,102,876.19971732,0.80000000,0,10000
7,3,0,1,103,876.46638398,0.26666667,0,10445
7,3,0,1,104,876.19971732,-0.26666667,0,10015
7,3,0,1,105,875.39971732,-0.80000000,0,10040
7,3,0,1,106,874.33305065,-1.06666667,0,10077
7,3,0,1,107,872.99971732,-1.33333333,0,10000
7,3,0,1,108,871.39971732,-1.60000000,0,10001
7,3,0,1,109,869.79971732,-1.60000000,0,10000
7,3,0,1,110,868.19971732,-1.60000000,0,10170
7,3,0,1,111,866.59971732,-1.60000000,0,10000
7,3,0,1,112,864.99971732,-1.60000000,0,9996
7,3,0,1,113,863.39971732,-1.60000000,0,10001
7,3,0,1,114,861.79971732,-1.60000000,0,10000
8,3,0,1,115,860.19971732,-1.60000000,0,10000
8,3,0,1,116,858.59971732,-1.60000000,0,10000
8,3,0,1,117,856.99971732,-1.60000000,0,10000
8,3,0,1,118,855.39971732,-1.60000000,0,10000
8,3,0,1,119,853.79971732,-1.60000000,0,10000
8,3,0,1,120,852.19971732,-1.60000000,0,10000
8,3,0,1,121,850.59971732,-1.60000000,0,10000
8,3,0,1,122,848.99971732,-1.60000000,0,10000
8,3,0,1,123,847.39971732,-1.60000000,0,9997
8,3,0,1,124,845.79971732,-1.60000000,0,10086
8,3,0,1,125,844.19971732,-1.60000000,0,10000
8,3,0,1,126,842.59971732,-1.60000000,0,10000
8,3,0,1,127,840.99971732,-1.60000000,0,10000
8,3,0,1,128,839.39971732,-1.60000000,0,10000
8,3,0,1,129,837.79971732,-1.60000000,0,9997
8,3,0,1,130,836.19971732,-1.60000000,0,10001
8,3,0,1,131,834.59971732,-1.60000000,0,10000
8,3,0,1,132,832.99971732,-1.60000000,0,10350
9,3,1,1,133,450.00000000,-1.60000000,0,10276
9,3,1,1,134,430.00000000,-1.60000000,0,10546
9,3,1,1,135,410.00000000,-1.60000000,0,10411
9,3,1,0,136,390.00000000,-1.60000000,19,3540
9,3,1,0,137,370.00000000,-1.60000000,19,3743
9,3,1,0,138,350.00000000,-1.60000000,15,5888
9,3,1,0,139,330.00000000,-1.60000000,28,1536
9,3,1,0,140,310.00000000,-1.60000000,1,11193
9,3,1,0,141,290.00000000,-1.60000000,33,1368
10,3,0,1,142,831.39971732,-1.60000000,0,10565
10,3,0,1,143,829.79971732,-1.60000000,0,10240
10,3,0,0,144,828.19971732,-1.60000000,13,956
10,3,0,0,145,830.59971732,2.40000000,12,1192
10,3,0,0,146,836.73305065,6.13333333,12,9297
10,3,0,0,147,846.33305065,9.60000000,12,29887
10,3,0,0,148,859.13305065,12.80000000,11,2613
10,3,0,0,149,874.86638398,15.73333333,10,1822
10,3,0,0,150,893.26638398,18.40000000,12,115133
11,3,0,0,151,914.06638398,20.80000000,11,175219
11,3,0,1,152,936.99971732,22.93333333,0,10001
12,3,0,1,153,957.79971732,20.80000000,0,10001
12,3,0,0,154,976.46638398,18.66666667,11,7372
12,3,0,0,155,996.99971732,20.53333333,5,15900
12,3,0,1,156,1019.13305065,22.13333333,0,10001
12,3,0,1,157,1038.59971732,19.46666667,0,10011
12,3,0,1,158,1055.39971732,16.80000000,0,10161
12,3,0,1,159,1069.53305065,14.13333333,0,10286
12,3,0,1,160,1080.99971732,11.46666667,0,10359
12,3,0,1,161,1090.06638398,9.06666667,0,10381
12,3,0,1,162,1096.99971732,6.93333333,0,10618
12,3,0,1,163,1102.06638398,5.06666667,0,10457
12,3,0,0,164,1105.53305065,3.46666667,10,694
12,3,0,1,165,1111.66638398,6.13333333,0,10671
12,3,0,1,166,1116.46638398,4.80000000,0,10000
12,3,0,1,167,1120.19971732,3.73333333,0,10001
12,3,0,1,168,1123.13305065,2.93333333,0,10001
12,3,0,1,169,1125.26638398,2.13333333,0,10001
12,3,0,1,170,1126.59971732,1.33333333,0,10001
13,3,1,0,171,450.00000000,1.33333333,21,2056
13,3,1,1,172,430.00000000,1.33333333,0,10755
13,3,1,1,173,410.00000000,1.33333333,0,10615
13,3,1,1,174,390.00000000,1.33333333,0,10352
13,3,1,0,175,370.00000000,1.33333333,1,11119
13,3,1,1,176,350.00000000,1.33333333,0,10465
13,3,1,0,177,330.00000000,1.33333333,31,1004
13,3,1,0,178,310.00000000,1.33333333,29,1977
13,3,1,0,179,290.00000000,1.33333333,30,2287
