gameNumber,successInStatic,isStatic,gameInterval,finalInterval
1,0,0,0,300
2,0,0,0,446
3,0,0,0,336
4,1,1,380,282
5,1,1,355,224
6,0,1,336,194
7,1,1,336,164
8,0,1,329,156
9,0,1,330,131
10,0,1,334,110
11,1,1,341,80
12,1,1,343,50
13,0,1,342,31
14,1,1,343,1
15,1,1,342,-29
16,1,1,338,-59
17,1,1,332,-90
18,1,1,324,-121
19,0,0,324,220
20,0,0,324,276
21,0,0,324,286
22,0,1,314,244
23,0,1,307,212
24,0,1,304,189
25,1,1,304,156
26,0,1,302,148
27,0,1,303,115
28,0,1,307,96
29,0,1,314,75
30,0,1,323,49
31,1,1,333,19
32,1,1,339,-11
33,1,1,341,-41
34,1,1,340,-71
35,1,1,336,-101
36,1,1,329,-132
37,1,1,320,-164
38,0,0,320,218
39,0,0,320,274
40,0,0,320,254
41,0,1,309,210
42,0,1,301,189
43,0,1,297,162
44,0,1,296,131
45,0,1,299,124
46,0,1,305,118
47,0,1,313,87
48,1,1,323,56
49,0,1,330,53
50,1,1,338,23
51,1,1,342,-7
52,0,1,342,-18
53,1,1,344,-48
54,1,1,342,-78
55,1,1,337,-108
56,1,1,330,-139
57,0,1,321,-147
