gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
1,0,0,0,478,0.00000000
2,0,0,0,482,0.00000000
3,0,0,0,450,0.00000000
4,1,1,490,366,0.00000000
5,1,1,465,312,-25.00000000
6,1,1,446,266,-18.75000000
7,0,1,429,224,-16.66666667
8,0,1,425,214,-3.12500000
9,1,1,428,182,3.00000000
10,0,1,425,171,-2.08333333
11,0,1,427,162,2.04081633
12,0,1,431,146,4.68750000
13,1,1,437,123,6.48148148
14,1,1,439,100,2.75000000
15,0,1,439,79,0.25000000
16,0,1,441,67,2.75000000
17,0,1,445,53,4.75000000
18,0,1,451,41,6.25000000
19,1,1,458,19,7.75000000
20,0,0,458,334,7.75000000
21,0,0,458,406,7.75000000
22,0,0,458,410,7.75000000
23,1,1,462,334,4.25000000
24,1,1,462,290,0.75000000
25,0,1,459,278,-2.25000000
26,1,1,459,234,0.25000000
27,1,1,456,194,-2.25000000
28,1,1,451,171,-4.75000000
29,0,1,443,149,-7.25000000
30,1,1,438,126,-4.25000000
31,1,1,431,102,-6.25000000
32,1,1,423,78,-7.75000000
33,0,1,414,75,-8.75000000
34,0,1,409,54,-4.75000000
35,1,1,407,29,-1.25000000
36,1,1,403,4,-3.25000000
37,0,1,398,-1,-4.75000000
38,0,0,398,354,-4.75000000
39,0,0,398,346,-4.75000000
40,0,0,398,346,-4.75000000
41,1,1,396,294,-1.25000000
42,1,1,392,242,-3.25000000
43,1,1,386,194,-5.25000000
44,0,1,379,178,-6.75000000
45,0,1,375,166,-3.25000000
46,0,1,374,163,-0.25000000
47,0,1,376,141,2.25000000
48,1,1,380,114,4.75000000
49,0,1,382,98,2.25000000
50,1,1,386,72,4.75000000
51,0,1,387,55,1.75000000
52,1,1,391,29,4.25000000
53,1,1,392,3,1.25000000
54,1,1,390,-23,-1.75000000
55,1,1,385,-49,-4.75000000
56,0,1,377,-64,-7.25000000
57,0,0,377,298,-7.25000000
58,0,0,377,486,-7.25000000
59,0,0,377,430,-7.25000000
60,0,1,372,354,-4.25000000
61,0,1,370,328,-1.25000000
62,0,1,371,306,1.75000000
63,0,1,375,290,4.25000000
64,0,1,381,266,6.75000000
65,1,1,389,214,8.75000000
66,1,1,394,180,5.75000000
67,0,1,396,155,2.75000000
68,1,1,400,130,4.75000000
69,0,1,401,113,1.25000000
70,1,1,403,88,2.75000000
71,1,1,402,63,-0.75000000
72,0,1,398,55,-3.75000000
73,0,1,396,46,-1.25000000
74,0,1,397,31,1.25000000
75,0,1,400,8,3.75000000
76,0,1,406,3,6.25000000
77,1,1,414,-22,8.25000000
78,0,0,414,300,8.25000000
79,0,0,414,338,8.25000000
80,0,0,414,406,8.25000000
81,0,1,418,394,4.75000000
82,1,1,424,322,6.75000000
83,0,1,427,314,3.25000000
84,0,1,432,274,5.25000000
85,1,1,438,228,6.75000000
86,0,1,440,191,2.75000000
87,0,1,444,180,4.25000000
88,0,1,449,173,5.75000000
89,1,1,456,151,7.25000000
90,1,1,459,129,3.75000000
91,0,1,459,110,0.75000000
92,0,1,461,105,2.75000000
93,1,1,465,83,4.75000000
94,0,1,466,73,1.25000000
95,1,1,469,51,3.25000000
96,1,1,469,29,0.25000000
97,0,1,466,9,-2.75000000
98,0,0,466,304,-2.75000000
99,0,0,466,374,-2.75000000
100,0,0,466,422,-2.75000000
101,1,1,465,340,-0.25000000
102,1,1,462,296,-2.75000000
103,1,1,457,252,-4.75000000
104,1,1,450,206,-6.75000000
105,1,1,441,179,-8.75000000
106,1,1,430,155,-10.25000000
107,1,1,418,131,-11.25000000
108,1,1,405,106,-12.25000000
109,0,1,392,101,-12.75000000
110,0,1,383,80,-8.25000000
111,0,1,378,76,-4.25000000
112,0,1,377,56,-0.25000000
113,1,1,380,29,3.25000000
114,1,1,381,2,1.25000000
115,1,1,380,-25,-0.75000000
