gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
44,0,0,467,406,4.62500000
45,0,0,467,282,4.62500000
46,0,0,467,558,4.62500000
47,0,1,469,482,2.87500000
48,0,1,472,422,3.62500000
49,1,1,476,340,4.37500000
50,0,1,478,330,2.62500000
51,0,1,481,304,3.37500000
52,1,1,485,260,4.12500000
53,0,1,487,222,2.37500000
54,0,1,490,220,3.25000000
55,1,1,494,188,4.12500000
56,1,1,496,167,2.50000000
57,0,1,497,149,1.00000000
58,1,1,499,128,2.00000000
59,1,1,499,107,0.50000000
60,1,1,498,86,-1.00000000
61,0,1,495,80,-2.37500000
62,1,1,493,59,-1.12500000
