gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
1,0,0,413,461,-2.00000000
2,0,0,413,487,-2.00000000
3,0,0,413,485,-2.00000000
4,1,1,412,433,-1.00000000
5,0,1,407,401,-5.00000000
6,1,1,403,349,-3.50000000
7,1,1,396,297,-7.00000000
8,0,1,386,265,-10.00000000
9,1,1,378,209,-8.00000000
10,0,1,367,185,-11.00000000
11,0,1,358,178,-8.50000000
12,0,1,352,171,-6.00000000
13,0,1,348,152,-3.50000000
14,0,1,346,136,-1.50000000
15,0,1,346,134,0.50000000
16,0,1,348,133,2.00000000
17,0,1,351,130,3.50000000
18,0,1,355,107,4.50000000
19,0,1,360,84,5.00000000
20,0,1,365,68,5.50000000
21,0,1,370,58,5.50000000
22,1,1,375,30,5.50000000
23,0,1,375,25,0.50000000
24,0,1,376,16,1.00000000
25,0,1,377,11,1.50000000
26,0,1,379,1,2.00000000
27,0,1,381,-1,2.50000000
28,0,1,384,-20,3.00000000
29,0,1,387,-26,3.50000000
