gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange, game
1,0,0,359,341,-3.00000000,1
2,0,0,359,387,-3.00000000,2
3,0,0,359,483,-3.00000000,3
4,1,1,352,423,-7.00000000,4
5,0,1,341,413,-10.50000000,5
6,0,1,332,397,-8.50000000,6
7,1,1,325,333,-6.50000000,7
8,0,1,315,271,-9.50000000,8
9,0,1,308,221,-7.00000000,9
10,0,1,303,198,-4.50000000,10
11,0,1,300,194,-2.50000000,11
12,0,1,299,176,-0.50000000,12
13,0,1,300,168,1.50000000,13
14,0,1,303,139,3.00000000,14
15,0,1,307,119,4.00000000,15
16,0,1,311,104,4.50000000,16
17,0,1,316,87,5.00000000,17
18,0,1,321,84,5.50000000,18
19,0,1,326,79,5.50000000,19
20,0,1,331,49,5.50000000,20
21,1,1,336,18,5.50000000,21
22,1,1,336,-13,0.50000000,22
23,0,1,332,-20,-4.00000000,23
24,1,1,329,-52,-3.00000000,24
25,0,1,322,-65,-7.00000000,25
26,0,1,316,-70,-5.50000000,26
27,0,1,312,-73,-4.00000000,27
28,0,1,309,-81,-2.50000000,28
1,0,0,309,435,-2.50000000,29
2,0,0,309,451,-2.50000000,30
3,0,0,309,495,-2.50000000,31
4,0,1,308,489,-1.00000000,32
5,0,1,308,473,0.50000000,33
6,0,1,310,425,2.00000000,34
7,0,1,313,417,3.50000000,35
8,0,1,317,407,4.50000000,36
9,0,1,322,405,5.00000000,37
10,0,1,327,387,5.50000000,38
11,0,1,332,377,5.50000000,39
12,1,1,337,315,5.50000000,40
13,0,1,337,265,0.50000000,41
14,0,1,338,225,1.00000000,42
15,1,1,339,181,1.50000000,43
16,0,1,336,162,-3.00000000,44
17,0,1,334,156,-2.00000000,45
18,0,1,333,128,-1.00000000,46
19,0,1,333,122,0.00000000,47
20,0,1,334,114,1.00000000,48
21,0,1,336,108,2.00000000,49
22,0,1,339,86,3.00000000,50
23,0,1,343,77,4.00000000,51
24,0,1,347,61,4.50000000,52
25,0,1,352,37,5.00000000,53
26,0,1,357,23,5.50000000,54
27,1,1,362,-6,5.50000000,55
28,0,1,362,-19,0.50000000,56
29,0,1,363,-25,1.00000000,57
30,0,1,364,-38,1.50000000,58
1,0,0,364,367,1.50000000,59
2,0,0,364,473,1.50000000,60
3,0,0,364,391,1.50000000,61
4,1,1,366,333,2.00000000,62
5,0,1,363,293,-2.50000000,63
6,0,1,361,251,-1.50000000,64
7,0,1,360,239,-0.50000000,65
8,0,1,360,209,0.50000000,66
9,0,1,361,192,1.50000000,67
10,0,1,363,166,2.50000000,68
11,0,1,366,147,3.50000000,69
12,0,1,370,127,4.00000000,70
13,0,1,374,118,4.50000000,71
14,0,1,379,112,5.00000000,72
15,0,1,384,103,5.50000000,73
16,0,1,389,92,5.50000000,74
17,0,1,394,83,5.50000000,75
18,0,1,399,83,5.50000000,76
19,0,1,404,58,5.50000000,77
20,1,1,409,32,5.50000000,78
21,0,1,409,8,0.50000000,79
22,0,1,410,-3,1.00000000,80
23,0,1,411,-25,1.50000000,81
24,0,1,413,-32,2.00000000,82
25,1,1,415,-57,2.50000000,83
26,0,1,413,-70,-2.00000000,84
1,0,0,413,461,-2.00000000,85
2,0,0,413,487,-2.00000000,86
3,0,0,413,485,-2.00000000,87
4,1,1,412,433,-1.00000000,88
5,0,1,407,401,-5.00000000,89
6,1,1,403,349,-3.50000000,90
7,1,1,396,297,-7.00000000,91
8,0,1,386,265,-10.00000000,92
9,1,1,378,209,-8.00000000,93
10,0,1,367,185,-11.00000000,94
11,0,1,358,178,-8.50000000,95
12,0,1,352,171,-6.00000000,96
13,0,1,348,152,-3.50000000,97
14,0,1,346,136,-1.50000000,98
15,0,1,346,134,0.50000000,99
16,0,1,348,133,2.00000000,100
17,0,1,351,130,3.50000000,101
18,0,1,355,107,4.50000000,102
19,0,1,360,84,5.00000000,103
20,0,1,365,68,5.50000000,104
21,0,1,370,58,5.50000000,105
22,1,1,375,30,5.50000000,106
23,0,1,375,25,0.50000000,107
24,0,1,376,16,1.00000000,108
25,0,1,377,11,1.50000000,109
26,0,1,379,1,2.00000000,110
27,0,1,381,-1,2.50000000,111
28,0,1,384,-20,3.00000000,112
29,0,1,387,-26,3.50000000,113
1,0,0,387,383,3.50000000,114
2,0,0,387,409,3.50000000,115
3,0,0,387,453,3.50000000,116
4,0,1,391,431,4.00000000,117
5,0,1,395,385,4.50000000,118
6,0,1,400,347,5.00000000,119
7,0,1,405,313,5.50000000,120
8,0,1,410,291,5.50000000,121
9,1,1,415,241,5.50000000,122
10,0,1,415,225,0.50000000,123
11,0,1,416,195,1.00000000,124
12,0,1,417,180,1.50000000,125
13,1,1,419,155,2.00000000,126
14,0,1,416,148,-2.50000000,127
15,1,1,414,123,-1.50000000,128
16,0,1,408,104,-5.50000000,129
17,0,1,404,100,-4.00000000,130
18,0,1,401,86,-2.50000000,131
19,1,1,400,60,-1.00000000,132
20,0,1,395,37,-4.50000000,133
21,0,1,392,16,-3.00000000,134
22,1,1,390,-11,-1.50000000,135
23,0,1,385,-32,-5.00000000,136
24,0,1,382,-40,-3.00000000,137
25,1,1,380,-68,-1.50000000,138
