gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
38,0,0,320,218,-8.75000000
39,0,0,320,274,-8.75000000
40,0,0,320,254,-8.75000000
41,0,1,309,210,-10.75000000
42,0,1,301,189,-7.25000000
43,0,1,297,162,-3.75000000
44,0,1,296,131,-0.25000000
45,0,1,299,124,3.25000000
46,0,1,305,118,6.25000000
47,0,1,313,87,8.75000000
48,1,1,323,56,10.75000000
49,0,1,330,53,7.25000000
50,1,1,338,23,8.75000000
51,1,1,342,-7,4.75000000
52,0,1,342,-18,0.75000000
53,1,1,344,-48,2.25000000
54,1,1,342,-78,-1.25000000
55,1,1,337,-108,-4.25000000
56,1,1,330,-139,-6.75000000
57,0,1,321,-147,-8.75000000
