roundId,group,isTestGame,successInStatic,gameNumber,gameInterval,previousIntervalChange,pressesToSuccess,duration
1,2,1,1,1,450.00000000,0.00000000,0,11711
1,2,1,1,2,450.00000000,0.00000000,0,10804
1,2,1,0,3,450.00000000,0.00000000,3,1185
1,2,1,1,4,375.00000000,0.00000000,3,10918
1,2,1,1,5,375.00000000,0.00000000,3,10941
1,2,1,0,6,375.00000000,0.00000000,2,8127
1,2,1,0,7,300.00000000,0.00000000,5,2279
1,2,1,0,8,300.00000000,0.00000000,3,6279
1,2,1,0,9,300.00000000,0.00000000,4,11401
2,2,0,1,10,384.37500000,-15.62500000,4,10840
2,2,0,0,11,378.12500000,-6.25000000,3,5742
2,2,0,1,12,377.10459184,-1.02040816,3,11122
2,2,0,0,13,376.79594986,-0.30864198,5,10672
3,2,0,1,14,379.04594986,2.25000000,5,10879
3,2,0,1,15,380.78206097,1.73611111,5,11091
3,2,0,1,16,382.18512220,1.40306122,5,11299
4,2,0,1,17,383.74067775,1.55555556,5,10806
4,2,0,1,18,385.51845553,1.77777778,5,10904
4,2,0,1,19,387.07401109,1.55555556,5,10676
5,2,1,1,20,450.00000000,1.55555556,5,10848
5,2,1,1,21,450.00000000,1.55555556,5,10757
5,2,1,1,22,450.00000000,1.55555556,5,10940
5,2,1,1,23,375.00000000,1.55555556,5,10679
5,2,1,0,24,375.00000000,1.55555556,5,10216
5,2,1,1,25,375.00000000,1.55555556,5,11002
5,2,1,0,26,300.00000000,1.55555556,4,6032
5,2,1,0,27,300.00000000,1.55555556,4,1071
5,2,1,1,28,300.00000000,1.55555556,4,10922
6,2,0,1,29,379.29623331,-7.77777778,4,10960
6,2,0,1,30,372.85178886,-6.44444444,4,10791
6,2,0,0,31,367.74067775,-5.11111111,2,8891
7,2,0,0,32,364.85178886,-2.88888889,3,1108
7,2,0,1,33,364.18512220,-0.66666667,3,10917
7,2,0,0,34,364.40734442,0.22222222,3,7762
7,2,0,1,35,366.62956664,2.22222222,3,10876
8,2,0,1,36,369.51845553,2.88888889,3,10711
8,2,0,1,37,372.62956664,3.11111111,3,10661
8,2,0,1,38,375.51845553,2.88888889,3,10823
9,2,1,1,39,450.00000000,2.88888889,3,10661
9,2,1,0,40,450.00000000,2.88888889,2,1126
9,2,1,1,41,450.00000000,2.88888889,2,10791
9,2,1,0,42,375.00000000,2.88888889,3,3318
9,2,1,1,43,375.00000000,2.88888889,3,10830
9,2,1,1,44,375.00000000,2.88888889,3,10869
9,2,1,1,45,300.00000000,2.88888889,3,10896
9,2,1,0,46,300.00000000,2.88888889,3,8938
9,2,1,0,47,300.00000000,2.88888889,5,4627
10,2,0,1,48,369.07401109,-6.44444444,5,10578
10,2,0,1,49,363.51845553,-5.55555556,5,10915
10,2,0,1,50,359.07401109,-4.44444444,5,10901
11,2,0,0,51,355.74067775,-3.33333333,2,7401
11,2,0,0,52,354.62956664,-1.11111111,2,5836
11,2,0,1,53,355.51845553,0.88888889,2,10971
11,2,0,1,54,357.07401109,1.55555556,2,10639
12,2,0,0,55,359.29623331,2.22222222,3,2406
12,2,0,0,56,363.29623331,4.00000000,3,9930
12,2,0,1,57,368.85178886,5.55555556,3,11051
12,2,0,1,58,373.74067775,4.88888889,3,10968
13,2,1,1,59,450.00000000,4.88888889,3,10812
13,2,1,1,60,450.00000000,4.88888889,3,10926
13,2,1,1,61,450.00000000,4.88888889,3,11052
13,2,1,0,62,375.00000000,4.88888889,3,9319
13,2,1,1,63,375.00000000,4.88888889,3,10886
13,2,1,1,64,375.00000000,4.88888889,3,10884
13,2,1,1,65,300.00000000,4.88888889,3,11342
13,2,1,0,66,300.00000000,4.88888889,3,8873
13,2,1,0,67,300.00000000,4.88888889,8,9450
14,2,1,0,68,450.00000000,4.88888889,4,4323
14,2,1,0,69,450.00000000,4.88888889,10,4286
14,2,1,1,70,450.00000000,4.88888889,10,10532
14,2,1,1,71,375.00000000,4.88888889,10,10809
14,2,1,1,72,375.00000000,4.88888889,10,10720
14,2,1,1,73,375.00000000,4.88888889,10,10822
14,2,1,0,74,300.00000000,4.88888889,5,3274
14,2,1,1,75,300.00000000,4.88888889,5,11032
14,2,1,0,76,300.00000000,4.88888889,4,5742
