roundId,group,isTestGame,successInStatic,gameNumber,gameInterval,previousIntervalChange,pressesToSuccess,duration
1,1,1,0,1,450.00000000,0.00000000,2,6747
1,1,1,1,2,450.00000000,0.00000000,2,10973
1,1,1,1,3,450.00000000,0.00000000,2,11235
1,1,1,0,4,375.00000000,0.00000000,3,9770
1,1,1,1,5,375.00000000,0.00000000,3,11335
1,1,1,1,6,375.00000000,0.00000000,3,10792
1,1,1,0,7,300.00000000,0.00000000,3,6766
1,1,1,0,8,300.00000000,0.00000000,4,7422
1,1,1,1,9,300.00000000,0.00000000,4,10884
2,1,0,0,10,376.00000000,-24.00000000,5,11363
2,1,0,1,11,361.00000000,-15.00000000,5,10858
2,1,0,1,12,349.43750000,-11.56250000,5,10748
3,1,0,1,13,339.43750000,-10.00000000,5,10852
3,1,0,0,14,330.27083333,-9.16666667,3,9731
3,1,0,1,15,323.22941321,-7.04142012,3,10722
4,1,0,0,16,316.11830210,-7.11111111,4,8722
4,1,0,1,17,311.00719099,-5.11111111,4,11189
4,1,0,0,18,306.11830210,-4.88888889,1,14
4,1,0,0,19,302.78496877,-3.33333333,5,4657
4,1,0,0,20,300.78496877,-2.00000000,6,11019
5,1,1,1,21,450.00000000,-2.00000000,6,10521
5,1,1,1,22,450.00000000,-2.00000000,6,10482
5,1,1,0,23,450.00000000,-2.00000000,2,6213
5,1,1,1,24,375.00000000,-2.00000000,2,11005
5,1,1,1,25,375.00000000,-2.00000000,2,10923
5,1,1,1,26,375.00000000,-2.00000000,2,10866
5,1,1,0,27,300.00000000,-2.00000000,1,37
5,1,1,0,28,300.00000000,-2.00000000,5,4027
5,1,1,1,29,300.00000000,-2.00000000,5,10756
6,1,0,0,30,287.89607988,-12.88888889,3,4358
6,1,0,1,31,276.78496877,-11.11111111,3,11195
6,1,0,0,32,265.89607988,-10.88888889,1,23
6,1,0,1,33,256.78496877,-9.11111111,1,10975
6,1,0,0,34,247.89607988,-8.88888889,4,8319
7,1,0,0,35,240.78496877,-7.11111111,5,968
7,1,0,0,36,235.45163544,-5.33333333,3,5117
7,1,0,0,37,231.89607988,-3.55555556,4,5688
7,1,0,0,38,230.11830210,-1.77777778,5,3890
7,1,0,1,39,229.89607988,-0.22222222,5,10975
7,1,0,0,40,229.00719099,-0.88888889,5,1838
8,1,0,0,41,229.22941321,0.22222222,4,4437
8,1,0,0,42,230.34052433,1.11111111,5,2460
8,1,0,1,43,232.11830210,1.77777778,5,10883
8,1,0,0,44,231.89607988,-0.22222222,4,806
