roundId,group,isTestGame,successInStatic,gameNumber,gameInterval,previousIntervalChange,pressesToSuccess,duration
1,2,1,1,1,450.00000000,0.00000000,0,10612
1,2,1,1,2,450.00000000,0.00000000,0,10805
1,2,1,0,3,450.00000000,0.00000000,3,10602
1,2,1,1,4,375.00000000,0.00000000,3,10833
1,2,1,0,5,375.00000000,0.00000000,2,8413
1,2,1,0,6,375.00000000,0.00000000,3,8131
1,2,1,0,7,300.00000000,0.00000000,4,1625
1,2,1,0,8,300.00000000,0.00000000,4,2351
1,2,1,0,9,300.00000000,0.00000000,4,2704
2,2,0,0,10,383.33333333,-16.66666667,3,5096
2,2,0,0,11,380.20833333,-3.12500000,3,5815
2,2,0,0,12,383.20833333,3.00000000,4,5123
2,2,0,1,13,389.45833333,6.25000000,4,10877
2,2,0,1,14,393.36458333,3.90625000,4,10992
2,2,0,0,15,396.11458333,2.75000000,2,7391
2,2,0,1,16,400.66003788,4.54545455,2,10628
2,2,0,1,17,404.06240474,3.40236686,2,10799
2,2,0,0,18,406.72907141,2.66666667,2,5617
2,2,0,1,19,410.95129363,4.22222222,2,11063
2,2,0,1,20,414.50684919,3.55555556,2,10796
2,2,0,0,21,417.17351585,2.66666667,3,4738
2,2,0,1,22,421.17351585,4.00000000,3,10831
2,2,0,1,23,424.50684919,3.33333333,3,10810
2,2,0,0,24,427.17351585,2.66666667,3,4948
2,2,0,1,25,431.17351585,4.00000000,3,10526
3,2,0,0,26,434.50684919,3.33333333,2,2604
3,2,0,0,27,439.17351585,4.66666667,2,1504
3,2,0,0,28,444.95129363,5.77777778,3,1627
3,2,0,0,29,451.84018252,6.88888889,4,10127
3,2,0,0,30,459.84018252,8.00000000,3,10396
3,2,0,0,31,468.72907141,8.88888889,2,4164
3,2,0,1,32,478.50684919,9.77777778,2,10764
3,2,0,0,33,486.50684919,8.00000000,2,2036
3,2,0,1,34,495.39573808,8.88888889,2,10446
3,2,0,1,35,502.50684919,7.11111111,2,10719
3,2,0,1,36,507.84018252,5.33333333,2,10893
3,2,0,0,37,511.61796030,3.77777778,2,2267
3,2,0,1,38,516.28462696,4.66666667,2,10348
3,2,0,0,39,519.61796030,3.33333333,2,4884
3,2,0,0,40,524.06240474,4.44444444,2,10794
3,2,0,0,41,529.61796030,5.55555556,2,9569
3,2,0,0,42,536.28462696,6.66666667,2,2229
3,2,0,1,43,544.06240474,7.77777778,2,10597
4,2,0,0,44,550.50684919,6.44444444,2,1730
4,2,0,1,45,558.06240474,7.55555556,2,10824
4,2,0,1,46,564.28462696,6.22222222,2,10742
4,2,0,0,47,569.17351585,4.88888889,2,1211
4,2,0,0,48,574.95129363,5.77777778,2,1224
4,2,0,1,49,581.61796030,6.66666667,2,10430
4,2,0,0,50,586.72907141,5.11111111,3,4375
4,2,0,1,51,592.72907141,6.00000000,3,10874
4,2,0,1,52,597.39573808,4.66666667,3,10836
4,2,0,1,53,601.17351585,3.77777778,3,10822
4,2,0,1,54,604.06240474,2.88888889,3,11037
4,2,0,1,55,606.28462696,2.22222222,3,10983
4,2,0,1,56,607.84018252,1.55555556,3,10434
4,2,0,1,57,608.95129363,1.11111111,3,10510
4,2,0,1,58,609.84018252,0.88888889,3,10857
4,2,0,1,59,610.72907141,0.88888889,3,10391
5,2,1,1,60,450.00000000,0.88888889,3,10765
5,2,1,0,61,450.00000000,0.88888889,2,1213
5,2,1,0,62,450.00000000,0.88888889,3,4101
5,2,1,1,63,375.00000000,0.88888889,3,10927
5,2,1,0,64,375.00000000,0.88888889,2,6991
5,2,1,0,65,375.00000000,0.88888889,4,5142
5,2,1,0,66,300.00000000,0.88888889,4,2551
5,2,1,0,67,300.00000000,0.88888889,3,7359
5,2,1,0,68,300.00000000,0.88888889,4,1759
6,2,1,1,69,450.00000000,0.88888889,4,10571
6,2,1,1,70,450.00000000,0.88888889,4,10565
6,2,1,1,71,450.00000000,0.88888889,4,10762
6,2,1,0,72,375.00000000,0.88888889,3,3642
6,2,1,1,73,375.00000000,0.88888889,3,10955
6,2,1,0,74,375.00000000,0.88888889,3,8662
6,2,1,0,75,300.00000000,0.88888889,5,2778
6,2,1,0,76,300.00000000,0.88888889,3,1986
6,2,1,0,77,300.00000000,0.88888889,3,2232
7,2,1,1,78,450.00000000,0.88888889,3,10743
7,2,1,0,79,450.00000000,0.88888889,2,1071
7,2,1,0,80,450.00000000,0.88888889,2,4264
7,2,1,0,81,375.00000000,0.88888889,3,5626
7,2,1,0,82,375.00000000,0.88888889,2,6715
7,2,1,0,83,375.00000000,0.88888889,2,4410
7,2,1,0,84,300.00000000,0.88888889,5,2425
7,2,1,0,85,300.00000000,0.88888889,3,7342
7,2,1,0,86,300.00000000,0.88888889,3,1666
