"Aikaleima"	"subId"	"kierros"	"f01"	"f02"	"f03"	"f04"	"f05"	"f06"	"f07"	"f08"	"f09"	"f10"	"f11"	"f12"	"f13"	"m01"	"m02"	"m03"	"group"	"age"	"sex1n0m"	"handedness1o0v"	"playtime"	"gamespeed"	"game_exp"	"liking"	"skill"	"virkeys"	"f11rec7"	"f12rec7"	"f13rec7"	"flow10"	"flow13"	"flow3"	"motiv3"	"difficulty"
"1"	"1.15.2016 13:55:07"	"KH1"	1	7	6	5	6	6	3	7	5	6	4	6	7	4	6	4	5	2	24	1	1	2.5	0.33	0.83	4	2	NA	5.5	4	5.5	5.5	5.38461538461539	5.66666666666667	5	6.25
"2"	"1.15.2016 14:09:59"	"KH1"	2	5	5	5	5	4	4	6	5	5	4	7	6	7	5	4	5	2	24	1	1	2.5	0.33	0.83	4	2	NA	4	5.5	4	4.8	4.73076923076923	6.66666666666667	4.66666666666667	4.5
"3"	"1.15.2016 14:23:19"	"KH1"	3	6	6	3	5	6	4	6	5	4	4	7	7	5	6	3	4	2	24	1	1	2.5	0.33	0.83	4	2	NA	4	4	7	4.9	4.92307692307692	6.33333333333333	4.33333333333333	6.5
"4"	"2.18.2016 16:16:37"	"KH10"	1	6	5	7	6	4	6	7	2	2	5	9	6	8	5	7	7	1	27	1	1	2.5	0.33	0.83	4	3	4	1	5.5	2.5	5	4.53846153846154	7.66666666666667	6.33333333333333	4.25
"5"	"2.18.2016 16:29:50"	"KH10"	2	5	4	6	5	4	7	6	3	3	6	8	6	8	5	6	6	1	27	1	1	2.5	0.33	0.83	4	3	3	2.5	5.5	2.5	4.9	4.57692307692308	7.33333333333333	5.66666666666667	3.75
"6"	"2.18.2016 16:43:37"	"KH10"	3	6	5	7	6	4	6	6	2	3	6	8	6	7	5	6	6	1	27	1	1	2.5	0.33	0.83	4	3	3	2.5	5.5	4	5.1	4.84615384615385	7	5.66666666666667	5
"7"	"2.25.2016 16:15:55"	"KH11"	1	6	5	4	2	5	3	5	3	3	2	3	3	6	6	5	5	2	25	1	0	0	0	0	2	1	4	4	4	5.5	3.8	3.96153846153846	4	5.33333333333333	5.75
"8"	"2.25.2016 16:30:19"	"KH11"	2	5	6	5	2	5	5	6	5	4	5	7	3	5	6	5	5	2	25	1	0	0	0	0	2	1	3	4	4	7	4.8	4.84615384615385	5	5.33333333333333	6
"9"	"2.25.2016 16:44:24"	"KH11"	3	6	6	5	2	5	6	6	4	5	5	5	3	5	5	3	3	2	25	1	0	0	0	0	2	1	4	7	4	7	5	5.23076923076923	4.33333333333333	3.66666666666667	6.5
"10"	"3.1.2016 11:27:10"	"KH12"	1	6	6	5	2	4	5	5	5	4	5	5	5	5	4	5	5	3	23	1	0	1	0	0	5	4	6	7	7	7	4.7	5.23076923076923	5	4.66666666666667	6.5
"11"	"3.1.2016 11:41:18"	"KH12"	2	6	5	4	2	4	5	4	4	4	5	5	5	5	4	3	4	3	23	1	0	1	0	0	5	4	5	7	7	7	4.3	4.92307692307692	5	3.66666666666667	6.5
"12"	"3.1.2016 11:55:29"	"KH12"	3	6	4	5	4	4	4	5	4	4	4	5	5	5	4	3	4	3	23	1	0	1	0	0	5	4	5	7	7	7	4.4	5	5	3.66666666666667	6.5
"13"	"3.9.2016 10:16:10"	"KH13"	1	2	5	7	2	4	6	6	3	2	7	9	3	8	5	3	3	1	29	0	1	15	1	15	5	4	4	1	4	2.5	4.4	3.96153846153846	6.66666666666667	3.66666666666667	2.25
"14"	"3.9.2016 10:29:25"	"KH13"	2	2	3	7	3	4	6	5	2	2	6	9	1	9	2	3	2	1	29	0	1	15	1	15	5	4	4	1	1	1	4	3.30769230769231	6.33333333333333	2.33333333333333	1.5
"15"	"3.9.2016 10:42:00"	"KH13"	3	2	3	6	3	3	6	5	3	2	5	9	2	9	2	1	1	1	29	0	1	15	1	15	5	4	3	1	2.5	1	3.8	3.26923076923077	6.66666666666667	1.33333333333333	1.5
"16"	"3.9.2016 11:31:39"	"KH14"	1	6	7	7	7	6	7	7	5	5	5	3	8	4	7	6	7	2	29	1	1	2.5	0.5	1.25	4	3	7	4	2.5	5.5	6.2	5.69230769230769	5	6.66666666666667	5.75
"17"	"3.9.2016 11:44:58"	"KH14"	2	5	6	6	6	6	7	5	4	3	5	6	7	6	6	5	6	2	29	1	1	2.5	0.5	1.25	4	3	7	5.5	4	5.5	5.3	5.23076923076923	6.33333333333333	5.66666666666667	5.25
"18"	"3.9.2016 11:58:27"	"KH14"	3	6	7	7	7	6	7	7	5	5	6	8	7	6	7	4	5	2	29	1	1	2.5	0.5	1.25	4	3	7	2.5	4	5.5	6.3	5.76923076923077	7	5.33333333333333	5.75
