Aikaleima	subId	kierros	f01	f02	f03	f04	f05	f06	f07	f08	f09	f10	f11	f12	f13	m01	m02	m03	group	virkeys	
1.15.2016 13:55:07	KH1	1	7	6	5	6	6	3	7	5	6	4	6	7	4	6	4	5	2		
1.15.2016 14:09:59	KH1	2	5	5	5	5	4	4	6	5	5	4	7	6	7	5	4	5	2		
1.15.2016 14:23:19	KH1	3	6	6	3	5	6	4	6	5	4	4	7	7	5	6	3	4	2		
1.22.2016 9:54:09	KH2	1	5	5	4	3	3	3	4	5	3	4	7	3	7	2	2	2	1		
1.22.2016 10:06:52	KH2	2	5	5	5	3	5	4	4	5	5	3	4	4	6	3	2	2	1		
1.22.2016 10:19:16	KH2	3	5	5	5	3	3	3	4	4	4	3	3	3	6	2	2	2	1		
2.2.2016 16:17:39	KH3	1	6	4	5	2	2	5	6	4	2	4	6	4	5	5	5	5	3		
2.2.2016 16:31:08	KH3	2	3	3	6	3	3	5	4	3	3	5	4	3	4	5	3	4	3		
2.2.2016 16:43:47	KH3	3	3	5	5	3	3	3	5	3	3	4	3	4	4	5	3	3	3		
2.2.2016 17:06:08	KH4	1	5	4	3	6	2	3	4	4	5	3	8	7	7	5	6	6	1		
2.2.2016 17:21:27	KH4	2	5	5	5	3	4	5	4	4	3	4	7	6	5	6	6	7	1		
2.2.2016 17:36:48	KH4	3	5	6	7	6	4	6	5	6	5	7	6	7	5	6	6	7	1		
2.3.2016 17:16:38	KH5	1	4	3	6	4	4	6	6	3	4	6	5	5	5	6	4	5	2		
2.3.2016 17:29:02	KH5	2	5	5	5	3	5	6	6	4	6	6	4	6	5	5	5	5	2		
2.3.2016 17:41:02	KH5	3	4	5	5	4	5	6	5	5	5	5	5	5	5	6	5	5	2		
2.9.2016 16:53:20	KH6	1	5	5	6	4	3	5	5	5	5	4	3	5	5	6	5	6	3	4	
2.9.2016 17:08:04	KH6	2	5	5	4	4	4	5	5	6	6	5	4	5	3	5	5	5	3	4	
2.9.2016 17:21:55	KH6	3	4	4	5	3	3	4	6	6	6	5	3	5	3	5	4	4	3	4	
2.16.2016 12:31:58	KH7	1	6	4	6	3	6	6	6	6	5	5	5	6	6	6	6	6	1	5	
2.16.2016 12:47:01	KH7	2	3	3	5	4	3	6	4	5	3	5	6	4	7	5	5	5	1	5	
2.16.2016 13:01:14	KH7	3	5	4	6	3	5	6	5	5	4	5	5	6	5	6	6	6	1	5	
2.18.2016 12:25:16	KH8	1	5	6	6	2	5	6	6	5	5	5	6	6	5	6	6	7	2	6	
2.18.2016 12:38:53	KH8	2	6	4	6	5	3	6	4	4	3	5	7	5	6	5	5	4	2	4	
2.18.2016 12:52:32	KH8	3	6	5	5	5	5	6	5	5	4	6	7	6	6	6	3	3	2	5	
2.18.2016 14:36:44	KH9	1	3	5	4	2	2	3	5	3	4	5	3	5	2	4	4	5	3	3	
2.18.2016 14:51:20	KH9	2	2	4	2	3	4	2	5	3	3	6	4	5	3	2	2	3	3	3	
2.18.2016 15:04:41	KH9	3	5	5	4	3	3	4	6	4	4	5	5	5	4	4	2	4	3	2	
2.18.2016 16:16:37	KH10	1	6	5	7	6	4	6	7	2	2	5	9	6	8	5	7	7	1	4	
2.18.2016 16:29:50	KH10	2	5	4	6	5	4	7	6	3	3	6	8	6	8	5	6	6	1	3	
2.18.2016 16:43:37	KH10	3	6	5	7	6	4	6	6	2	3	6	8	6	7	5	6	6	1	3	
2.25.2016 16:15:55	KH11	1	6	5	4	2	5	3	5	3	3	2	3	3	6	6	5	5	2	4	
2.25.2016 16:30:19	KH11	2	5	6	5	2	5	5	6	5	4	5	7	3	5	6	5	5	2	3	
2.25.2016 16:44:24	KH11	3	6	6	5	2	5	6	6	4	5	5	5	3	5	5	3	3	2	4	
3.1.2016 11:27:10	KH12	1	6	6	5	2	4	5	5	5	4	5	5	5	5	4	5	5	3	6	
3.1.2016 11:41:18	KH12	2	6	5	4	2	4	5	4	4	4	5	5	5	5	4	3	4	3	5	
3.1.2016 11:55:29	KH12	3	6	4	5	4	4	4	5	4	4	4	5	5	5	4	3	4	3	5	
3.9.2016 10:16:10	KH13	1	2	5	7	2	4	6	6	3	2	7	9	3	8	5	3	3	1	4	
3.9.2016 10:29:25	KH13	2	2	3	7	3	4	6	5	2	2	6	9	1	9	2	3	2	1	4	
3.9.2016 10:42:00	KH13	3	2	3	6	3	3	6	5	3	2	5	9	2	9	2	1	1	1	3	
3.9.2016 11:31:39	KH14	1	6	7	7	7	6	7	7	5	5	5	3	8	4	7	6	7	2	7	
3.9.2016 11:44:58	KH14	2	5	6	6	6	6	7	5	4	3	5	6	7	6	6	5	6	2	7	
3.9.2016 11:58:27	KH14	3	6	7	7	7	6	7	7	5	5	6	8	7	6	7	4	5	2	7	
3.10.2016 10:22:45	KH15	1	2	6	5	4	5	5	7	4	5	2	3	7	2	6	5	5	3	4	
3.10.2016 10:37:23	KH15	2	5	5	2	5	4	2	5	4	4	5	3	7	3	3	3	3	3	3	
3.10.2016 10:50:37	KH15	3	3	4	2	6	3	2	6	6	6	6	3	7	3	2	2	2	3	2	
